group_id	user_id	role	joined_at
1	23	organiser	2025-08-27
2	18	member	2025-10-09
3	28	member	2025-09-20
4	47	member	2025-08-03
5	10	member	2026-01-13
6	45	organiser	2025-08-18
7	43	member	2025-02-08
8	44	member	2025-02-16
9	32	member	2025-12-12
10	19	member	2025-06-28
11	39	organiser	2026-01-16
12	24	member	2025-05-25
13	16	organiser	2025-05-12
14	44	member	2025-10-02
15	30	member	2025-04-06
16	13	member	2025-11-20
17	23	organiser	2025-05-19
18	9	member	2025-09-12
19	45	organiser	2025-12-17
20	27	organiser	2025-08-24
