schedule_id	group_id	episode_number	due_date
1	4	8	2025-04-08
2	5	10	2025-11-21
3	6	8	2025-09-28
4	9	15	2025-02-16
5	18	11	2025-03-29
6	1	4	2025-02-23
7	20	11	2025-08-09
8	11	10	2025-02-08
9	3	3	2025-02-15
10	5	1	2025-08-17
11	6	10	2025-07-01
12	16	13	2025-03-13
13	16	9	2025-01-30
14	7	7	2025-10-28
15	20	13	2025-09-04
16	3	8	2025-01-13
17	19	8	2025-11-27
18	15	1	2025-08-19
19	20	4	2025-02-02
20	15	1	2025-12-23
21	15	2	2025-10-24
22	14	1	2025-04-21
23	7	7	2025-04-22
24	6	9	2025-04-05
25	18	3	2025-06-27
26	9	14	2025-11-28
27	10	2	2025-07-02
28	12	10	2025-03-25
29	14	9	2025-04-27
30	7	6	2025-05-28
31	12	3	2025-10-28
32	18	11	2025-07-11
33	6	3	2025-06-10
34	3	10	2025-03-27
35	10	4	2025-05-04
36	6	10	2025-12-22
37	9	15	2025-01-28
38	9	7	2025-09-21
39	1	11	2025-01-12
40	5	6	2025-06-07
41	20	2	2025-10-24
42	15	13	2025-11-05
43	2	8	2025-10-10
44	13	15	2025-08-18
45	8	12	2025-09-26
46	13	7	2025-09-03
47	12	12	2025-06-02
48	2	3	2025-02-18
49	13	13	2025-07-14
50	3	5	2025-02-03
51	17	12	2025-11-25
52	9	10	2025-11-02
53	17	10	2025-05-31
54	16	4	2025-11-18
55	5	14	2025-08-06
56	9	15	2025-08-09
57	17	13	2025-08-10
58	19	10	2025-11-24
59	19	3	2025-10-03
60	6	2	2025-10-05
61	18	14	2025-04-22
62	19	13	2025-08-23
63	5	1	2025-07-30
64	2	12	2025-01-22
65	12	11	2025-08-25
66	17	4	2025-04-26
67	6	10	2025-11-28
68	15	6	2025-06-28
69	2	5	2025-10-13
70	3	14	2025-10-16
71	16	7	2025-02-25
72	18	9	2025-09-10
73	18	9	2025-10-15
74	11	4	2025-09-08
75	9	9	2025-01-08
76	12	7	2025-09-26
77	8	13	2025-02-03
78	11	14	2025-04-16
79	7	6	2025-11-07
80	10	12	2025-07-17
81	10	14	2025-04-24
82	1	14	2025-12-24
83	6	5	2025-12-30
84	13	12	2025-08-06
85	8	6	2025-02-22
86	6	13	2025-11-12
87	3	1	2025-03-17
88	9	12	2025-06-20
89	19	13	2025-10-04
90	4	8	2025-10-16
91	8	1	2025-08-07
92	16	6	2025-06-22
93	18	9	2025-09-11
94	20	6	2025-02-14
95	2	8	2025-01-07
96	11	9	2025-11-07
97	1	14	2025-02-26
98	2	11	2025-01-09
99	20	1	2025-02-26
100	8	12	2025-01-09
