watchlist_id	user_id	tmdb_id	tmdb_name	poster_url	added_at
1	17	2	Space Detectives	http://dummyimage.com/162x100.png/ff4444/ffffff	2025-03-07 00:00:00
2	12	6	Mystery Mansion	http://dummyimage.com/148x100.png/cc0000/ffffff	2025-04-06 00:00:00
3	19	8	Space Detectives	http://dummyimage.com/111x100.png/dddddd/000000	2025-11-18 00:00:00
4	17	1	The Time Traveling Chef	http://dummyimage.com/137x100.png/cc0000/ffffff	2025-06-20 00:00:00
5	14	8	The Time Traveling Chef	http://dummyimage.com/112x100.png/cc0000/ffffff	2025-07-14 00:00:00
6	16	1	The Galactic Adventures of Zorblax	http://dummyimage.com/111x100.png/dddddd/000000	2025-09-05 00:00:00
7	8	9	The Time Traveling Chef	http://dummyimage.com/119x100.png/ff4444/ffffff	2025-02-05 00:00:00
8	3	1	Undercover Unicorn	http://dummyimage.com/194x100.png/dddddd/000000	2025-05-12 00:00:00
9	19	2	Space Detectives	http://dummyimage.com/210x100.png/5fa2dd/ffffff	2025-04-12 00:00:00
10	15	7	The Time Traveling Chef	http://dummyimage.com/244x100.png/5fa2dd/ffffff	2025-09-06 00:00:00
11	8	10	Mystery Mansion	http://dummyimage.com/125x100.png/cc0000/ffffff	2025-04-22 00:00:00
12	11	3	Mystery Mansion	http://dummyimage.com/204x100.png/ff4444/ffffff	2025-11-04 00:00:00
13	19	1	The Time Traveling Chef	http://dummyimage.com/159x100.png/ff4444/ffffff	2025-10-25 00:00:00
14	16	5	Space Detectives	http://dummyimage.com/126x100.png/cc0000/ffffff	2025-06-10 00:00:00
15	17	4	Undercover Unicorn	http://dummyimage.com/210x100.png/5fa2dd/ffffff	2025-08-09 00:00:00
16	9	5	Mystery Mansion	http://dummyimage.com/197x100.png/dddddd/000000	2025-01-31 00:00:00
17	1	7	Undercover Unicorn	http://dummyimage.com/178x100.png/cc0000/ffffff	2025-11-22 00:00:00
18	16	2	The Time Traveling Chef	http://dummyimage.com/180x100.png/cc0000/ffffff	2025-08-25 00:00:00
19	1	8	The Time Traveling Chef	http://dummyimage.com/197x100.png/5fa2dd/ffffff	2025-12-16 00:00:00
20	6	3	Space Detectives	http://dummyimage.com/203x100.png/dddddd/000000	2025-10-23 00:00:00
21	19	10	Mystery Mansion	http://dummyimage.com/128x100.png/dddddd/000000	2025-09-23 00:00:00
22	16	4	Mystery Mansion	http://dummyimage.com/181x100.png/ff4444/ffffff	2025-04-07 00:00:00
23	18	10	Undercover Unicorn	http://dummyimage.com/131x100.png/cc0000/ffffff	2025-11-25 00:00:00
24	14	7	The Galactic Adventures of Zorblax	http://dummyimage.com/193x100.png/dddddd/000000	2025-09-21 00:00:00
25	12	6	Mystery Mansion	http://dummyimage.com/108x100.png/ff4444/ffffff	2025-07-28 00:00:00
26	16	7	The Time Traveling Chef	http://dummyimage.com/243x100.png/dddddd/000000	2025-09-21 00:00:00
27	1	7	Mystery Mansion	http://dummyimage.com/197x100.png/5fa2dd/ffffff	2025-08-08 00:00:00
28	20	1	Mystery Mansion	http://dummyimage.com/186x100.png/dddddd/000000	2025-10-10 00:00:00
29	11	4	Space Detectives	http://dummyimage.com/101x100.png/ff4444/ffffff	2025-12-08 00:00:00
30	8	5	Space Detectives	http://dummyimage.com/233x100.png/5fa2dd/ffffff	2026-01-23 00:00:00
31	7	3	Mystery Mansion	http://dummyimage.com/174x100.png/ff4444/ffffff	2025-04-08 00:00:00
32	13	2	Mystery Mansion	http://dummyimage.com/125x100.png/dddddd/000000	2025-05-05 00:00:00
33	3	3	The Time Traveling Chef	http://dummyimage.com/142x100.png/cc0000/ffffff	2025-03-13 00:00:00
34	18	5	Undercover Unicorn	http://dummyimage.com/192x100.png/ff4444/ffffff	2025-12-28 00:00:00
35	11	1	The Galactic Adventures of Zorblax	http://dummyimage.com/187x100.png/ff4444/ffffff	2025-11-28 00:00:00
36	15	1	The Time Traveling Chef	http://dummyimage.com/236x100.png/ff4444/ffffff	2025-04-25 00:00:00
37	8	3	Mystery Mansion	http://dummyimage.com/127x100.png/ff4444/ffffff	2025-09-14 00:00:00
38	15	1	Mystery Mansion	http://dummyimage.com/232x100.png/ff4444/ffffff	2025-09-27 00:00:00
39	5	10	Undercover Unicorn	http://dummyimage.com/144x100.png/ff4444/ffffff	2025-07-01 00:00:00
40	17	5	Undercover Unicorn	http://dummyimage.com/148x100.png/dddddd/000000	2025-09-01 00:00:00
41	20	1	Space Detectives	http://dummyimage.com/223x100.png/5fa2dd/ffffff	2025-10-17 00:00:00
42	3	9	Space Detectives	http://dummyimage.com/241x100.png/cc0000/ffffff	2025-10-22 00:00:00
43	1	4	The Galactic Adventures of Zorblax	http://dummyimage.com/126x100.png/cc0000/ffffff	2025-05-12 00:00:00
44	9	8	Mystery Mansion	http://dummyimage.com/216x100.png/dddddd/000000	2025-08-23 00:00:00
45	11	9	Mystery Mansion	http://dummyimage.com/129x100.png/cc0000/ffffff	2025-01-25 00:00:00
46	4	9	Mystery Mansion	http://dummyimage.com/158x100.png/ff4444/ffffff	2025-05-13 00:00:00
47	16	9	The Galactic Adventures of Zorblax	http://dummyimage.com/195x100.png/5fa2dd/ffffff	2025-07-31 00:00:00
48	10	5	Space Detectives	http://dummyimage.com/247x100.png/dddddd/000000	2025-07-04 00:00:00
49	17	3	Mystery Mansion	http://dummyimage.com/166x100.png/cc0000/ffffff	2025-03-31 00:00:00
50	20	5	The Galactic Adventures of Zorblax	http://dummyimage.com/181x100.png/cc0000/ffffff	2025-10-05 00:00:00
51	9	6	Undercover Unicorn	http://dummyimage.com/156x100.png/ff4444/ffffff	2025-03-09 00:00:00
52	14	2	Mystery Mansion	http://dummyimage.com/208x100.png/cc0000/ffffff	2025-05-26 00:00:00
53	8	8	The Time Traveling Chef	http://dummyimage.com/185x100.png/5fa2dd/ffffff	2025-04-15 00:00:00
54	9	9	Undercover Unicorn	http://dummyimage.com/225x100.png/ff4444/ffffff	2025-03-01 00:00:00
55	11	10	Space Detectives	http://dummyimage.com/193x100.png/cc0000/ffffff	2025-06-22 00:00:00
56	11	3	Space Detectives	http://dummyimage.com/177x100.png/dddddd/000000	2025-04-11 00:00:00
57	20	8	Space Detectives	http://dummyimage.com/125x100.png/5fa2dd/ffffff	2026-01-17 00:00:00
58	5	2	Mystery Mansion	http://dummyimage.com/172x100.png/ff4444/ffffff	2025-01-02 00:00:00
59	16	4	The Galactic Adventures of Zorblax	http://dummyimage.com/195x100.png/ff4444/ffffff	2025-12-23 00:00:00
60	2	7	Mystery Mansion	http://dummyimage.com/214x100.png/5fa2dd/ffffff	2025-08-25 00:00:00
61	20	2	Mystery Mansion	http://dummyimage.com/219x100.png/dddddd/000000	2025-01-24 00:00:00
62	3	9	Undercover Unicorn	http://dummyimage.com/163x100.png/5fa2dd/ffffff	2025-03-12 00:00:00
63	14	1	The Galactic Adventures of Zorblax	http://dummyimage.com/132x100.png/5fa2dd/ffffff	2025-07-25 00:00:00
64	4	3	The Time Traveling Chef	http://dummyimage.com/119x100.png/ff4444/ffffff	2025-07-16 00:00:00
65	2	4	Mystery Mansion	http://dummyimage.com/173x100.png/ff4444/ffffff	2025-04-24 00:00:00
66	3	10	The Time Traveling Chef	http://dummyimage.com/158x100.png/5fa2dd/ffffff	2025-03-10 00:00:00
67	3	10	The Galactic Adventures of Zorblax	http://dummyimage.com/188x100.png/ff4444/ffffff	2025-04-28 00:00:00
68	11	5	Mystery Mansion	http://dummyimage.com/186x100.png/ff4444/ffffff	2025-03-17 00:00:00
69	4	6	Mystery Mansion	http://dummyimage.com/203x100.png/dddddd/000000	2025-01-18 00:00:00
70	5	7	The Galactic Adventures of Zorblax	http://dummyimage.com/158x100.png/5fa2dd/ffffff	2025-05-08 00:00:00
71	10	4	The Time Traveling Chef	http://dummyimage.com/185x100.png/cc0000/ffffff	2025-12-01 00:00:00
72	16	8	Mystery Mansion	http://dummyimage.com/173x100.png/ff4444/ffffff	2025-06-13 00:00:00
73	13	7	The Time Traveling Chef	http://dummyimage.com/219x100.png/5fa2dd/ffffff	2025-01-21 00:00:00
74	19	2	The Time Traveling Chef	http://dummyimage.com/140x100.png/cc0000/ffffff	2025-09-27 00:00:00
75	16	10	Undercover Unicorn	http://dummyimage.com/115x100.png/dddddd/000000	2025-11-12 00:00:00
76	14	10	Mystery Mansion	http://dummyimage.com/208x100.png/cc0000/ffffff	2026-01-01 00:00:00
77	18	7	The Time Traveling Chef	http://dummyimage.com/240x100.png/cc0000/ffffff	2025-07-04 00:00:00
